MUN_LPI;latitude;longitude
VALENÇA;-22.2461028;-43.6996917
GUARULHOS;-23.4675941;-46.5277704
CAETÉ;-19.897777;-43.670278
ITAPECERICA DA SERRA;-23.7176303;-46.8492435
SANTA BÁRBARA;-19.959444;-43.415278
MATEUS LEME;-19.986666;-44.428056
FRANCISCO MORATO;-23.2817308;-46.7448996
PARAÍBA DO SUL;-22.1636384;-43.2916915
MACHADO;-21.6762861;-45.9211696
PRESIDENTE BERNARDES;-20.7685467;-43.1877237
PIEDADE;-23.7074096;-47.4252319
PIRANGA;-20.685;-43.3
MIGUEL PEREIRA;-22.4539417;-43.4691978
VIÇOSA;-20.7538586;-42.8815888
SÃO THOMÉ DAS LETRAS;-21.7218272;-44.9849435
BARÃO DE COCAIS;-19.9452437;-43.4870298
PORTO FIRME;-20.672778;-43.084444
JUIZ DE FORA;-21.7609533;-43.3501129
MARIPÁ DE MINAS;-21.6975;-42.959167
SIMÃO PEREIRA;-21.963611;-43.311667
ERVÁLIA;-20.8377232;-42.6559789
PIAU;-21.5074738;-43.320587
SABARÁ;-19.8900372;-43.8107916
JUNDIAÍ;-23.1887668;-46.884506
NOVA FRIBURGO;-22.3061661;-42.4934183
SANTO ANTÔNIO DO AVENTUREIRO;-21.7579052;-42.815566
RIO DAS FLORES;-22.1683478;-43.5858689
RAPOSOS;-19.967223;-43.804167
ALVINÓPOLIS;-20.1105199;-43.0601805
BICAS;-21.7213723;-43.0604327
CONCEIÇÃO DOS OUROS;-22.4124143;-45.797067
RIO PRETO;-22.089444;-43.8275
RIO NOVO;-21.4753189;-43.1250813
CANTAGALO;-21.9815;-42.3645
COTIA;-23.603889;-46.918889
ARUJÁ;-23.396266;-46.3175449
ITABIRA;-19.6190169;-43.226248
BARBACENA;-21.2254524;-43.7735087
BRAGANÇA PAULISTA;-22.9520235;-46.5418586
CARMO;-21.9338;-42.6084
GUARACIABA;-20.5718037;-43.0057078
PIRACICABA;-22.725165;-47.6493269
CONTAGEM;-19.9132749;-44.0840953
ITAVERAVA;-20.677;-43.619875
AGUANIL;-20.9424533;-45.3927152
MATIAS BARBOSA;-21.8691643;-43.3180624
PASSA TEMPO;-20.650556;-44.495833
SUMIDOURO;-22.0455;-42.6735
ESPÍRITO SANTO DO PINHAL;-22.1929522;-46.7470021
ANGRA DOS REIS;-23.1555405;-44.2344809
ENGENHEIRO PAULO DE FRONTIN;-22.5504556;-43.6783403
SANTA RITA DE JACUTINGA;-22.149166;-44.094444
JECEABA;-20.5353816;-43.983346
OURO BRANCO;-20.5222413;-43.6917283
SENHORA DE OLIVEIRA;-20.793889;-43.344166
ITANHAÉM;-24.1833421;-46.7896229
SANTOS DUMONT;-21.455867;-43.5522107
SANTO ANDRÉ;-23.6533509;-46.5279039
VÁRZEA PAULISTA;-23.2113889;-46.8283333
PARAISÓPOLIS;-22.5541683;-45.7800024
TRÊS RIOS;-22.1167884;-43.2087226
BELO VALE;-20.407778;-44.024167
RIO MANSO;-20.265079;-44.3090284
RIO CLARO;-22.7229997;-44.1359986
VALINHOS;-22.97056;-46.99583
CARANAÍBA;-20.8736914;-43.7379458
PEDRA DO ANTA;-20.5962822;-42.7179792
LAGOA DOURADA;-20.914444;-44.077778
OURO PRETO;-20.385527;-43.5035214
PEQUERI;-21.8369971;-43.1207799
CATAS ALTAS;-20.0748989;-43.4078304
LIMA DUARTE;-21.842777;-43.792777
COQUEIRAL;-21.1898365;-45.4409829
EMBU DAS ARTES;-23.6495294;-46.8528497
DUAS BARRAS;-22.0522519;-42.5194705
CONGONHAS;-20.5015168;-43.8564586
PAIVA;-21.289441;-43.4175347
BRAZÓPOLIS;-22.4742842;-45.6165577
SÃO MIGUEL ARCANJO;-23.8807771;-47.9963492
CONSELHEIRO LAFAIETE;-20.6596107;-43.785743
VASSOURAS;-22.4093928;-43.6609318
AGUAÍ;-22.0592036;-46.979384
BOM JESUS DOS PERDÕES;-23.1353864;-46.4648052
PIRAÍ;-22.6550812;-43.9193061
TRAJANO DE MORAES;-22.0637596;-42.0648701
FERROS;-19.234984;-43.019542
MIRACATU;-24.2839078;-47.4535128
SÃO ROQUE;-23.5304843;-47.1355473
MOGI MIRIM;-22.433123;-46.958246
PATY DO ALFERES;-22.4272703;-43.4219523
SANTA ISABEL;-23.3194222;-46.2271903
CACHOEIRAS DE MACACU;-22.4626861;-42.6534414
BOM JARDIM DE MINAS;-21.9476508;-44.1905987
SÃO BERNARDO DO CAMPO;-23.7080345;-46.5506747
CARMO DA CACHOEIRA;-21.460556;-45.223334
ALTO RIO DOCE;-21.0239537;-43.4133507
HELIODORA;-22.0675;-45.542222
JUQUIÁ;-24.3172209;-47.6355618
CAMBUÍ;-22.6122501;-46.0572137
SÃO JOSÉ DOS CAMPOS;-23.1867782;-45.8854538
SAPUCAIA;-22.0196881;-42.840827
ITARIRI;-24.2900711;-47.176151
SAPUCAÍ-MIRIM;-22.7480012;-45.7427651
SÃO DOMINGOS DO PRATA;-19.8671078;-42.9658318
JUQUITIBA;-23.932346;-47.0714217
MORUNGABA;-22.88;-46.79167
CAMPO LIMPO PAULISTA;-23.207791;-46.788919
BARRA DO PIRAÍ;-22.4242692;-43.8935244
PIRACAIA;-23.052545;-46.359374
EMBU-GUAÇU;-23.8317997;-46.8156204
SÃO JOSÉ DO VALE DO RIO PRETO;-22.1509994;-42.9239986
TEIXEIRAS;-20.6517875;-42.8563275
PASSA-VINTE;-22.209722;-44.2344386
PARATY;-23.1415413;-44.7610795
