MUN_OCOR;Latitude;Longitude
ITUPEVA;-23.1531055;-47.0580347
IMBITUVA;-25.2293338;-50.6051002
RIO NEGRO;-26.1047668;-49.7982766
CAMPINA DO SIMÃO;-25.1086375;-51.8076658
GUARAPUAVA;-25.3950986;-51.4622016
BOA VENTURA DE SÃO ROQUE;-24.88177;-51.5441292
BARUERI;-23.5112184;-46.8764612
IBIRAMA;-27.0537021;-49.5190771
PINHÃO;-25.6960895;-51.6566366
ITAJAÍ;-26.9046787;-48.6552979
ABADIA DE GOIÁS;-16.7584;-49.4383
ARAGOIÂNIA;-16.9146388;-49.4499148
WITMARSUM;-26.927487;-49.794675
ABELARDO LUZ;-26.5705893;-52.3280339
CORONEL DOMINGOS SOARES;-26.22394;-52.0314509
CLEVELÂNDIA;-26.404065;-52.3513972
ATALANTA;-27.421916;-49.778863
BRAÇO DO TROMBUDO;-27.358578;-49.882145
SÃO BERNARDINO;-26.4712934;-52.9658921
PONTE ALTA;-27.483497;-50.376404
HONÓRIO SERPA;-26.143149;-52.383794
PRESIDENTE GETÚLIO;-27.0426247;-49.6210429
AGROLÂNDIA;-27.4120688;-49.8294621
SÃO LOURENÇO DO OESTE;-26.35566;-52.849837
BOCAINA DO SUL;-27.745494;-49.942279
FREI ROGÉRIO;-27.175021;-50.807621
JUSSARA;-15.874813;-50.867431
ANITA GARIBALDI;-27.6855032;-51.1293873
DONA EMMA;-26.9849398;-49.7265136
PASSOS MAIA;-26.7806434;-52.0611058
CURITIBANOS;-27.2900659;-50.5779683
MONTE ALEGRE DOS CAMPOS;-28.6840498;-50.7820322
SÃO CRISTOVÃO DO SUL;-27.2670093;-50.4409508
ÁGUAS MORNAS;-27.696316;-48.8247831
CAMPO BELO DO SUL;-27.8989298;-50.759562
SÃO JOSÉ DO CERRITO;-27.6627041;-50.5791762
CAPÃO ALTO;-27.9382827;-50.511491
SÃO MARTINHO;-28.165018;-48.9793424
LAGES;-27.8165664;-50.325883
CERRO NEGRO;-27.7953331;-50.8741305
RIO FORTUNA;-28.1335539;-49.1048223
CORREIA PINTO;-27.587688;-50.361448
PORTO ALEGRE;-30.0324999;-51.2303767
ROLANTE;-29.6527945;-50.5769391
FARROUPILHA;-29.22647;-51.3468188
SANTA ROSA DE LIMA;-28.0404239;-49.1280356
PIRAQUARA;-25.4423273;-49.0604473
PALMA SOLA;-26.3482487;-53.2775974
VARGEM;-27.4909659;-50.9781096
CAMPOS NOVOS;-27.3962904;-51.2224397
ANITÁPOLIS;-27.9041185;-49.1287395
BRAÇO DO NORTE;-28.2728633;-49.1622712
BOM JESUS;-28.6692723;-50.4346894
PLÁCIDO DE CASTRO;-10.3239154;-67.1824196
CAXIAS DO SUL;-29.1685045;-51.1796385
CIRÍACO;-28.3429139;-51.8763682
MORRO REUTER;-29.5389519;-51.0818864
SÃO MARCOS;-28.9706799;-51.0687665
CANELA;-29.3636094;-50.8096844
JAQUIRANA;-28.8836757;-50.3580098
CERRO GRANDE DO SUL;-30.5962963;-51.7517196
VENÂNCIO AIRES;-29.614306;-52.193159
BARRA DO RIBEIRO;-30.2925989;-51.3033906
VIAMÃO;-30.0819338;-51.0261927
NOVA PETRÓPOLIS;-29.3759836;-51.1123342
FELIZ;-29.4523254;-51.3069785
FLORES DA CUNHA;-29.030129;-51.1833349
SÃO FRANCISCO DE PAULA;-29.448454;-50.5833027
CHARQUEADAS;-29.9549088;-51.6249534
NOVA HARTZ;-29.5842391;-50.9043246
