UF_LPI,MUN_LPI,Latitude,Longitude
RJ,SÃO GONÇALO,-22.821635,-42.99567968770695
RJ,RIO CLARO,-22.7229997,-44.1359986
RJ,ENGENHEIRO PAULO DE FRONTIN,-22.5504556,-43.6783403
MG,MATIAS BARBOSA,-21.8691643,-43.3180624
MG,CATAS ALTAS,-20.0748989,-43.4078304
MG,DIOGO DE VASCONCELOS,-20.4868723,-43.1984645
MG,BELO VALE,-20.407778,-44.024167
MG,SÃO GONÇALO DO SAPUCAÍ,-21.8905238,-45.5935943
MG,ITABIRA,-19.6190169,-43.226248
MG,SANTA RITA DE JACUTINGA,-22.149166,-44.094444
MG,PIAU,-21.5074738,-43.320587
MG,OURO BRANCO,-20.5222413,-43.6917283
MG,PARAISÓPOLIS,-22.5541683,-45.7800024
MG,SÃO DOMINGOS DO PRATA,-19.8671078,-42.9658318
MG,PEDRA DO ANTA,-20.5962822,-42.7179792
MG,CONSELHEIRO LAFAIETE,-20.6596107,-43.785743
MG,AMPARO DO SERRA,-20.5070255,-42.8028462
MG,MERCÊS,-21.1947265,-43.3407272
MG,PEDRO LEOPOLDO,-19.617778,-44.043055
MG,PAULA CÂNDIDO,-20.8737735,-42.9862733
MG,PEQUERI,-21.8369971,-43.1207799
MG,SANTANA DO DESERTO,-21.95,-43.166667
MG,RIO ESPERA,-20.8571756,-43.4729342
MG,GUARANI,-21.35876,-43.0481021
MG,LIMA DUARTE,-21.842777,-43.792777
MG,JOÃO MONLEVADE,-19.809444,-43.173334
MG,NOVA UNIÃO,-19.6901893,-43.580107
MG,SANTOS DUMONT,-21.455867,-43.5522107
MG,COQUEIRAL,-21.1898365,-45.4409829
MG,CIPOTÂNEA,-20.905278,-43.365556
SP,VALINHOS,-22.97056,-46.99583
MG,CARANDAÍ,-20.9523934,-43.8043903
RJ,VOLTA REDONDA,-22.521856,-44.1040128
MG,LAGOA DOURADA,-20.914444,-44.077778
MG,CARANAÍBA,-20.8736914,-43.7379458
MG,SANTANA DOS MONTES,-20.7875735,-43.6910376
MG,SÃO MIGUEL DO ANTA,-20.7065375,-42.7195395
MG,BELO HORIZONTE,-19.9227318,-43.9450948
MG,CONGONHAS,-20.5015168,-43.8564586
MG,CONSOLAÇÃO,-22.551389,-45.921111
RJ,PIRAÍ,-22.65508115,-43.91930614037898
RJ,TRAJANO DE MORAES,-22.0637596,-42.0648701
RJ,NOVA IGUAÇU,-22.7592175,-43.4508728
SP,ITANHAÉM,-24.1833421,-46.7896229
SP,EMBU DAS ARTES,-23.6495294,-46.8528497
SP,SÃO BERNARDO DO CAMPO,-23.7080345,-46.5506747
MG,SENADOR FIRMINO,-20.9169703,-43.1001236
